,Keyword,Rank,Links
0,hand sanitizer,,
6,,7,https://www.fda.gov/drugs/information-drug-class/qa-consumers-hand-sanitizers-and-covid-19
7,,8,https://www.fda.gov/drugs/coronavirus-covid-19-drugs/hand-sanitizers-covid-19
8,,9,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-temporary-policy-preparation-certain-alcohol-based-hand-sanitizer-products-during
9,,10,https://www.fda.gov/drugs/information-drug-class/topical-antiseptic-products-hand-sanitizers-and-antibacterial-soaps
10,,11,https://www.accessdata.fda.gov/cder/sanitizer/
11,,12,https://www.timesnownews.com/the-buzz/article/hum-nahi-sudhrenge-man-steals-hand-sanitiser-from-atm-kiosk-video-goes-viral/751509
12,,13,https://www.asianetnews.com/india-news/two-dead-in-chhattisgarh-after-consuming-hand-sanitiser-qsj80s
13,,14,https://navbharattimes.indiatimes.com/apna-bazaar/health-and-fitness/health-care/order-hand-sanitizers-to-stay-safe-from-coronavirus-fea-ture/articleshow/82368075.cms
14,,15,https://www.myntra.com/sanitizer
15,,16,https://www.cdc.gov/handwashing/show-me-the-science-hand-sanitizer.html
16,,17,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/hand-sanitizer.html
17,,18,https://en.wikipedia.org/wiki/Hand_sanitizer
18,,19,https://www.healthline.com/health/how-to-make-hand-sanitizer
19,,20,https://www.healthline.com/health/coronavirus-treatment
20,zinc follic acid tablets,1,https://www.webmd.com/drugs/2/drug-153991/multivitamin-folic-acid-zinc-vit-c-oral/details
23,,4,https://www.rxlist.com/fdb/drugs/153991/multivitamin-folic-acid-zinc-vit-c-oral-drug.htm
24,,5,https://www.nih.gov/news-events/news-releases/zinc-folic-acid-supplement-does-not-improve-male-fertility-nih-study-suggests
25,,6,https://clinicaltrials.gov/ct2/show/NCT01857310
31,,12,https://www.seniority.in/chelated-iron-with-vitamin-c-folic-acid-vit-b12-zinc-60-tablets-carbamide-forte-pdp
32,,13,https://jamanetwork.com/journals/jama/fullarticle/2758450
33,,14,https://www.eurekalert.org/pub_releases/2020-01/uouh-zfa010720.php
35,,16,https://www.solitaireexpo.com/folic-acid-tablets.html
38,,19,https://www.nexlifenutrascience.in/iron-tablets.html
39,,20,https://www.healthline.com/nutrition/folic-acid-for-men
